stock_code,exchange,asset_liability_ratio,roe,gross_profit_margin,net_profit_margin,free_cash_flow,main_business_ratio
834950,BJ,21.14%,20.85%,41.32%,26.58%,37306299.99999999,151.2331
836208,BJ,35.85%,19.74%,46.72%,19.10%,92926300.0,356.8956
836395,BJ,22.84%,26.97%,56.58%,36.39%,35035800.0,159.0065
837663,BJ,21.31%,21.68%,42.96%,26.00%,68853200.0,162.1086
838171,BJ,8.61%,16.78%,41.98%,25.55%,20340300.0,133.4329
920029,BJ,35.78%,32.49%,36.03%,20.06%,438040500.0,124.4385
600436,SH,15.40%,21.36%,42.74%,27.77%,246000000.0,117.7515
600519,SH,19.04%,36.02%,91.93%,52.27%,87785000000.0,106.3277
600563,SH,31.59%,21.13%,33.37%,21.84%,867000000.0,121.5208
600566,SH,20.22%,18.18%,79.25%,31.64%,2002000000.0,223.4497
600779,SH,43.44%,28.06%,82.76%,25.71%,235000000.0,244.6466
600809,SH,34.19%,39.68%,76.20%,34.03%,11534000000.0,121.0426
600845,SH,43.22%,20.67%,34.77%,17.05%,1234000000.0,175.0811
600885,SH,39.30%,18.28%,36.21%,15.34%,1077000000.0,206.5168
601100,SH,19.40%,16.81%,42.83%,26.76%,1408000000.0,128.9499
601225,SH,43.71%,21.32%,32.69%,19.85%,28457000000.0,108.6532
603170,SH,27.29%,17.07%,32.81%,10.08%,156000000.0,235.7853
603195,SH,22.54%,28.64%,43.25%,25.37%,2790999999.9999995,135.1209
603198,SH,26.27%,27.91%,73.94%,35.33%,1004000000.0000001,115.3225
603207,SH,11.99%,24.29%,65.61%,43.25%,128057600.0,119.3399
603288,SH,23.14%,21.76%,37.00%,23.63%,5268000000.0,124.695
603360,SH,35.40%,20.51%,44.25%,27.36%,88086100.0,200.3033
603369,SH,36.20%,23.74%,74.74%,29.55%,1049999999.9999998,133.7237
603444,SH,18.63%,19.79%,87.86%,31.90%,1225503800.0,243.9662
603589,SH,23.02%,16.39%,74.59%,27.52%,1052000000.0,136.9756
603605,SH,27.14%,32.53%,71.39%,14.71%,807000000.0,342.7442
603868,SH,19.69%,14.59%,54.58%,11.04%,208221100.0,288.2179
605099,SH,16.58%,19.62%,30.01%,17.32%,295000000.00000006,146.2933
605117,SH,37.45%,39.24%,38.76%,26.42%,2898000000.0,114.1235
000568,SZ,30.48%,30.44%,87.54%,43.27%,17994000000.0,114.2104
000848,SZ,25.10%,20.55%,40.94%,20.26%,415000000.0,165.1795
000858,SZ,27.55%,23.35%,77.05%,37.22%,31273999999.999996,114.1067
001323,SZ,41.16%,16.68%,50.08%,13.70%,710000000.0,365.2628
001337,SZ,27.19%,17.63%,56.61%,38.79%,154000000.0,108.2562
001388,SZ,44.33%,18.26%,33.03%,14.21%,129813600.0,598.8978
002027,SZ,24.03%,29.91%,66.26%,41.36%,6324000000.0,130.759
002088,SZ,26.52%,17.05%,30.59%,13.59%,482889900.0,184.4556
002262,SZ,13.82%,16.79%,73.56%,20.02%,466000000.0,329.943
002372,SZ,21.07%,18.11%,41.72%,15.32%,793000000.0,257.7515
002555,SZ,33.53%,20.58%,78.63%,15.28%,2426000000.0,546.0708
002595,SZ,15.34%,21.44%,34.30%,22.85%,767000000.0,127.2628
002690,SZ,16.47%,24.31%,50.43%,28.09%,858738199.9999999,154.5139
002832,SZ,29.45%,15.65%,77.01%,19.49%,193000000.0,242.8823
002833,SZ,28.50%,18.44%,32.20%,19.34%,244000000.0,127.6839
002884,SZ,7.12%,19.68%,36.53%,27.79%,418973700.0,108.5466
300015,SZ,34.41%,17.89%,48.12%,17.81%,3052000000.0,205.2177
300033,SZ,27.35%,24.80%,89.41%,43.55%,2212000000.0,462.134
300316,SZ,43.16%,15.97%,33.35%,15.16%,128000000.0,128.3177
300628,SZ,8.46%,30.68%,65.45%,47.10%,2369000000.0,123.8441
300653,SZ,9.32%,14.66%,87.64%,37.07%,135427400.0,250.2425
300760,SZ,28.04%,32.58%,63.11%,31.97%,10473000000.0,165.3052
300770,SZ,19.96%,17.24%,50.20%,41.66%,305307900.0,121.2951
300832,SZ,10.84%,22.85%,72.07%,40.32%,917000000.0,152.551
301590,SZ,43.01%,28.64%,31.46%,17.10%,78879999.99999999,162.9536
301602,SZ,13.46%,18.26%,70.79%,38.74%,113333200.0,158.2196
